"","variable","activity_name","subject_id","value"
"1","tBodyAcc-mean()-X","LAYING",1,0.22159824394
"2","tBodyAcc-mean()-Y","LAYING",1,-0.0405139534294
"3","tBodyAcc-mean()-Z","LAYING",1,-0.11320355358
"4","tBodyAcc-std()-X","LAYING",1,-0.9280564692
"5","tBodyAcc-std()-Y","LAYING",1,-0.83682740562
"6","tBodyAcc-std()-Z","LAYING",1,-0.826061401628
"7","tGravityAcc-mean()-X","LAYING",1,-0.24888179828
"8","tGravityAcc-mean()-Y","LAYING",1,0.70554977346
"9","tGravityAcc-mean()-Z","LAYING",1,0.4458177198
"10","tGravityAcc-std()-X","LAYING",1,-0.8968300184
"11","tGravityAcc-std()-Y","LAYING",1,-0.90772000676
"12","tGravityAcc-std()-Z","LAYING",1,-0.85236629022
"13","tBodyAccJerk-mean()-X","LAYING",1,0.0810865342
"14","tBodyAccJerk-mean()-Y","LAYING",1,0.0038382040088
"15","tBodyAccJerk-mean()-Z","LAYING",1,0.010834236361
"16","tBodyAccJerk-std()-X","LAYING",1,-0.958482112
"17","tBodyAccJerk-std()-Y","LAYING",1,-0.9241492736
"18","tBodyAccJerk-std()-Z","LAYING",1,-0.9548551108
"19","tBodyGyro-mean()-X","LAYING",1,-0.016553093978
"20","tBodyGyro-mean()-Y","LAYING",1,-0.064486124088
"21","tBodyGyro-mean()-Z","LAYING",1,0.14868943626
"22","tBodyGyro-std()-X","LAYING",1,-0.87354386782
"23","tBodyGyro-std()-Y","LAYING",1,-0.9510904402
"24","tBodyGyro-std()-Z","LAYING",1,-0.9082846626
"25","tBodyGyroJerk-mean()-X","LAYING",1,-0.107270949192
"26","tBodyGyroJerk-mean()-Y","LAYING",1,-0.04151728689
"27","tBodyGyroJerk-mean()-Z","LAYING",1,-0.0740501211
"28","tBodyGyroJerk-std()-X","LAYING",1,-0.9186085208
"29","tBodyGyroJerk-std()-Y","LAYING",1,-0.9679072436
"30","tBodyGyroJerk-std()-Z","LAYING",1,-0.9577901596
"31","tBodyAccMag-mean()","LAYING",1,-0.8419291525
"32","tBodyAccMag-std()","LAYING",1,-0.79514486386
"33","tGravityAccMag-mean()","LAYING",1,-0.8419291525
"34","tGravityAccMag-std()","LAYING",1,-0.79514486386
"35","tBodyAccJerkMag-mean()","LAYING",1,-0.9543962646
"36","tBodyAccJerkMag-std()","LAYING",1,-0.9282456284
"37","tBodyGyroMag-mean()","LAYING",1,-0.874759548
"38","tBodyGyroMag-std()","LAYING",1,-0.81901016976
"39","tBodyGyroJerkMag-mean()","LAYING",1,-0.96346103
"40","tBodyGyroJerkMag-std()","LAYING",1,-0.9358409828
"41","fBodyAcc-mean()-X","LAYING",1,-0.9390990524
"42","fBodyAcc-mean()-Y","LAYING",1,-0.86706520518
"43","fBodyAcc-mean()-Z","LAYING",1,-0.8826668762
"44","fBodyAcc-std()-X","LAYING",1,-0.9244374346
"45","fBodyAcc-std()-Y","LAYING",1,-0.8336255561
"46","fBodyAcc-std()-Z","LAYING",1,-0.81289155944
"47","fBodyAcc-meanFreq()-X","LAYING",1,-0.158792670508
"48","fBodyAcc-meanFreq()-Y","LAYING",1,0.097534841586
"49","fBodyAcc-meanFreq()-Z","LAYING",1,0.08943765522
"50","fBodyAccJerk-mean()-X","LAYING",1,-0.9570738838
"51","fBodyAccJerk-mean()-Y","LAYING",1,-0.9224626098
"52","fBodyAccJerk-mean()-Z","LAYING",1,-0.9480609042
"53","fBodyAccJerk-std()-X","LAYING",1,-0.9641607086
"54","fBodyAccJerk-std()-Y","LAYING",1,-0.9322178704
"55","fBodyAccJerk-std()-Z","LAYING",1,-0.9605869872
"56","fBodyAccJerk-meanFreq()-X","LAYING",1,0.132419092398
"57","fBodyAccJerk-meanFreq()-Y","LAYING",1,0.024513618956
"58","fBodyAccJerk-meanFreq()-Z","LAYING",1,0.02438794528
"59","fBodyGyro-mean()-X","LAYING",1,-0.850249174586
"60","fBodyGyro-mean()-Y","LAYING",1,-0.9521914948
"61","fBodyGyro-mean()-Z","LAYING",1,-0.909302721
"62","fBodyGyro-std()-X","LAYING",1,-0.8822964508
"63","fBodyGyro-std()-Y","LAYING",1,-0.9512320494
"64","fBodyGyro-std()-Z","LAYING",1,-0.9165825082
"65","fBodyGyro-meanFreq()-X","LAYING",1,-0.003546795856
"66","fBodyGyro-meanFreq()-Y","LAYING",1,-0.091529130882
"67","fBodyGyro-meanFreq()-Z","LAYING",1,0.01045812566
"68","fBodyAccMag-mean()","LAYING",1,-0.8617676481
"69","fBodyAccMag-std()","LAYING",1,-0.7983009404
"70","fBodyAccMag-meanFreq()","LAYING",1,0.08640856294
"71","fBodyBodyAccJerkMag-mean()","LAYING",1,-0.9333003608
"72","fBodyBodyAccJerkMag-std()","LAYING",1,-0.9218039756
"73","fBodyBodyAccJerkMag-meanFreq()","LAYING",1,0.26639115416
"74","fBodyBodyGyroMag-mean()","LAYING",1,-0.8621901854
"75","fBodyBodyGyroMag-std()","LAYING",1,-0.82431943968
"76","fBodyBodyGyroMag-meanFreq()","LAYING",1,-0.1397750127
"77","fBodyBodyGyroJerkMag-mean()","LAYING",1,-0.9423669466
"78","fBodyBodyGyroJerkMag-std()","LAYING",1,-0.9326606676
"79","fBodyBodyGyroJerkMag-meanFreq()","LAYING",1,0.17648590708
"80","tBodyAcc-mean()-X","SITTING",1,0.261237565425532
"81","tBodyAcc-mean()-Y","SITTING",1,-0.00130828765170213
"82","tBodyAcc-mean()-Z","SITTING",1,-0.104544182255319
"83","tBodyAcc-std()-X","SITTING",1,-0.977229008297872
"84","tBodyAcc-std()-Y","SITTING",1,-0.922618641914894
"85","tBodyAcc-std()-Z","SITTING",1,-0.93958629106383
